Эмитент;Тип ценной бумаги;Сумма по полю Кол-во ЦБ;Среднее по полю Торговая цена;Сумма по полю summa
<Yog'gar>AJ;Простыеакции;237 325,00;9 270,08;2 200 021 736,00
<O'zRTXB>AJ;Простыеакции;4 859,00;16 965,97;82 277 818,41
;Простыеакции;3 750,00;5 372,09;20 211 800,09
<Quvasoycement>AJ;Простыеакции;78;183 433,33;14 057 900,00
<Qizilqumsement>AJ;Простыеакции;2 955,00;2 676,54;7 940 712,67
;Простыеакции;1 086,00;6 678,40;7 239 668,51
<BIZNESFINANSMIKROMOLIYATASHKILOTI>MChJ;Облигации;68;101 479,45;6 900 602,60
<O'zbekneftgaz>AJ;Прив.акции;3 514,00;1 871,70;6 590 029,89
;Простыеакции;99 091,00;60,3;5 953 859,37
<UzAutoMotors>AJ;Простыеакции;76;71 789,36;5 537 801,00
<O'zbekinvest>EISKAJ;Прив.акции;2 810,00;1 426,41;4 001 966,00
;Простыеакции;3 275 590,00;1,21;3 965 184,67
<O'zmetkombinat>AJ;Прив.акции;1 476,00;2 489,10;3 596 140,08
ATB<Universalbank>;Простыеакции;283;10 410,28;2 889 362,78
<DORI-DARMON>AK;Простыеакции;316;9 305,30;2 859 648,18
<Biokimyo>AJ;Простыеакции;79;30 000,00;2 370 000,00
AITB<IpakYo'li>;Простыеакции;24 547,00;79,09;2 014 519,01
<KAFOLATsug'urtakompaniyasi>AJ;Прив.акции;4 237,00;478,19;1 943 110,60
<OlmaliqKMK>AJ;Прив.акции;163;10 370,42;1 708 408,00
<O'zbektelekom>AK;Прив.акции;281;5 973,30;1 674 668,98
<Kvarts>AJ;Простыеакции;846;1 877,79;1 597 986,06
XII<O'zikkilamchiranglimetall>AJ;Простыеакции;307;4 700,12;1 442 963,69
AT<Aloqabank>;Прив.акции;1 583,00;876,3;1 419 733,55
<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;481 361,00;2,62;1 249 202,77
<IMKONFINANSMIKROMOLIYATASHKILOTI>AJ;Облигации;1;1 010 000,00;1 010 000,00
<O'zbekko'mir>AJ;Прив.акции;98;7 915,11;757 123,98
<Kapitalsug'urta>AJ;Простыеакции;42 312 226,00;0,02;710 865,46
<Qo'qonmexanikazavodi>AJ;Простыеакции;952;595,07;565 017,71
;Простыеакции;866;606,33;521 547,70
<ALSKOMSUG'URTAKOMPANIYASI>AJ;Простыеакции;319;1 628,08;481 455,16
<Ipoteka-bank>ATIB;Прив.акции;125 843,00;3,42;432 756,83
<Agrobank>ATB;Прив.акции;17;23 181,64;391 998,98
<Mikrokreditbank>ATB;Прив.акции;61;6 330,38;390 185,59
<Buxoroneftgazparmalash>AJ;Простыеакции;73;4 972,90;363 970,00
;Простыеакции;2 864,00;115,97;326 241,23
<Uzparta'minot>AJ;Простыеакции;329;946,76;311 638,95
<GARANTBANK>AJ;Простыеакции;1 148,00;240,37;276 585,77
<Andijontajriba-sinovzavodi>AJ;Прив.акции;38;7 000,00;265 999,97
;Простыеакции;598;405,55;242 862,20
<Hamkorbank>ATB;Прив.акции;3 540,00;59,27;209 488,91
;Простыеакции;2 215,00;91,96;204 010,40
;Простыеакции;18 481,00;9,99;185 525,62
<Biznesnirivojlantirishbanki>ATB;Прив.акции;452;408,04;184 933,15
;Простыеакции;1 604,00;114,1;183 199,04
<O'zagrolizing>AJ;Простыеакции;76;2 167,18;163 674,25
<O'zsanoatqurilishbank>ATB;Прив.акции;4 048,00;36,97;151 099,50
<O'ztransgaz>AJ;Прив.акции;14;8 051,75;113 109,02
<Minoraqurishekspeditsiyasi>AJ;Простыеакции;101;1 126,76;109 246,49
<Qashqadaryotexnologiktransport>AJ;Простыеакции;80;1 279,07;101 498,00
<Navoiysavdokompleksi>AJ;Простыеакции;76;1 161,08;89 979,00
<Ohangarondon>AJ;Простыеакции;10;8 699,92;86 999,10
;Простыеакции;3;27 020,50;82 045,00
XII<Kogonyog'-ekstraksiyazavodi>AJ;Прив.акции;48;1 707,36;81 007,01
<O'zbekistonpochtasi>AJ;Простыеакции;2;37 049,50;74 099,00
<O'zbekgeofizika>AJ;Прив.акции;108;544,15;58 792,07
<Buxorota'mirlashmexanikazavodi>AJ;Прив.акции;3;19 105,86;57 317,59
<Yangiyo'lyog'-moy>AJ;Прив.акции;6;8 048,00;48 386,00
<Jizzaxplastmassa>AJ;Простыеакции;15;3 243,33;47 950,00
;Простыеакции;41;991;40 170,00
;Простыеакции;2;18 400,00;36 800,00
<Toshneftegazqurilish>AJ;Простыеакции;3;11 940,00;35 820,00
;Простыеакции;29;973,68;28 229,45
;Простыеакции;14;1 804,00;25 296,00
<Toshkentyog'-moykombinati>AJ;Простыеакции;1;24 000,00;24 000,00
<QashPi>AJ;Простыеакции;20;812,75;16 054,99
<O'ZBEKKIMYOMASHZAVODI>AJ;Простыеакции;4;3 856,67;15 320,02
<O'zQEQ>AJ;Простыеакции;1;15 000,00;15 000,00
<Kattaqo'rg'onyog'-moy>AJ;Прив.акции;1;15 000,00;15 000,00
<Trastbank>XAB;Простыеакции;1;11 999,99;11 999,99
<Andijonyog'moy>AJ;Простыеакции;1;11 997,00;11 997,00
;Простыеакции;1;6 738,00;6 738,00
<O'zagrosug'urta>AJ;Простыеакции;2;3 352,00;6 704,00
<Urganchyog'-moy>AJ;Простыеакции;1;5 700,01;5 700,01
<Turonbank>ATB;Прив.акции;1;2 553,01;2 553,01
Общий итог;;46 623 119,00;3 336,85;2 399 042 814,06